x-axis,1,2,3
second,Volt,Volt,Volt
-118.000E-03,+2.256250E+00,+2.500000E+00,+2.599500E+00
-117.900E-03,+2.162500E+00,+2.562500E+00,+2.537000E+00
-117.800E-03,+2.068750E+00,+2.531250E+00,+2.412000E+00
-117.700E-03,+1.943750E+00,+2.406250E+00,+2.318250E+00
-117.600E-03,+1.818750E+00,+2.343750E+00,+2.224500E+00
-117.500E-03,+1.725000E+00,+2.218750E+00,+2.099500E+00
-117.400E-03,+1.537500E+00,+2.125000E+00,+1.912000E+00
-117.300E-03,+1.381250E+00,+1.968750E+00,+1.724500E+00
-117.200E-03,+1.193750E+00,+1.812500E+00,+1.537000E+00
-117.100E-03,+1.100000E+00,+1.625000E+00,+1.380750E+00
-117.000E-03,+912.500E-03,+1.437500E+00,+1.162000E+00
-116.900E-03,+850.000E-03,+1.281250E+00,+974.500E-03
-116.800E-03,+725.000E-03,+1.062500E+00,+787.000E-03
-116.700E-03,+662.500E-03,+906.250E-03,+630.750E-03
-116.600E-03,+568.750E-03,+750.000E-03,+537.000E-03
-116.500E-03,+506.250E-03,+593.750E-03,+443.250E-03
-116.400E-03,+506.250E-03,+531.250E-03,+349.500E-03
-116.300E-03,+475.000E-03,+406.250E-03,+318.250E-03
-116.200E-03,+537.500E-03,+375.000E-03,+287.000E-03
-116.100E-03,+631.250E-03,+343.750E-03,+349.500E-03
-116.000E-03,+693.750E-03,+343.750E-03,+349.500E-03
-115.900E-03,+818.750E-03,+375.000E-03,+474.500E-03
-115.800E-03,+943.750E-03,+468.750E-03,+630.750E-03
-115.700E-03,+1.100000E+00,+562.500E-03,+787.000E-03
-115.600E-03,+1.256250E+00,+687.500E-03,+974.500E-03
-115.500E-03,+1.443750E+00,+812.500E-03,+1.130750E+00
-115.400E-03,+1.568750E+00,+1.000000E+00,+1.349500E+00
-115.300E-03,+1.756250E+00,+1.218750E+00,+1.537000E+00
-115.200E-03,+1.881250E+00,+1.406250E+00,+1.755750E+00
-115.100E-03,+2.006250E+00,+1.593750E+00,+1.912000E+00
-115.000E-03,+2.100000E+00,+1.781250E+00,+2.130750E+00
-114.900E-03,+2.225000E+00,+2.000000E+00,+2.287000E+00
-114.800E-03,+2.287500E+00,+2.125000E+00,+2.443250E+00
-114.700E-03,+2.350000E+00,+2.281250E+00,+2.474500E+00
-114.600E-03,+2.318750E+00,+2.406250E+00,+2.662000E+00
-114.500E-03,+2.287500E+00,+2.500000E+00,+2.599500E+00
-114.400E-03,+2.256250E+00,+2.562500E+00,+2.630750E+00
-114.300E-03,+2.193750E+00,+2.562500E+00,+2.599500E+00
-114.200E-03,+2.037500E+00,+2.562500E+00,+2.474500E+00
-114.100E-03,+1.912500E+00,+2.468750E+00,+2.380750E+00
-114.000E-03,+1.756250E+00,+2.406250E+00,+2.224500E+00
-113.900E-03,+1.600000E+00,+2.250000E+00,+2.037000E+00
-113.800E-03,+1.412500E+00,+2.156250E+00,+1.818250E+00
-113.700E-03,+1.256250E+00,+1.906250E+00,+1.630750E+00
-113.600E-03,+1.100000E+00,+1.750000E+00,+1.412000E+00
-113.500E-03,+943.750E-03,+1.531250E+00,+1.193250E+00
-113.400E-03,+787.500E-03,+1.281250E+00,+1.005750E+00
-113.300E-03,+662.500E-03,+1.093750E+00,+787.000E-03
-113.200E-03,+568.750E-03,+906.250E-03,+568.250E-03
-113.100E-03,+537.500E-03,+718.750E-03,+474.500E-03
-113.000E-03,+506.250E-03,+562.500E-03,+349.500E-03
-112.900E-03,+506.250E-03,+437.500E-03,+255.750E-03
-112.800E-03,+506.250E-03,+343.750E-03,+255.750E-03
-112.700E-03,+600.000E-03,+281.250E-03,+287.000E-03
-112.600E-03,+693.750E-03,+281.250E-03,+349.500E-03
-112.500E-03,+818.750E-03,+312.500E-03,+412.000E-03
-112.400E-03,+1.006250E+00,+406.250E-03,+568.250E-03
-112.300E-03,+1.162500E+00,+531.250E-03,+724.500E-03
-112.200E-03,+1.318750E+00,+687.500E-03,+943.250E-03
-112.100E-03,+1.537500E+00,+843.750E-03,+1.193250E+00
-112.000E-03,+1.693750E+00,+1.000000E+00,+1.443250E+00
-111.900E-03,+1.850000E+00,+1.281250E+00,+1.724500E+00
-111.800E-03,+2.006250E+00,+1.500000E+00,+1.912000E+00
-111.700E-03,+2.100000E+00,+1.718750E+00,+2.130750E+00
-111.600E-03,+2.287500E+00,+1.937500E+00,+2.287000E+00
-111.500E-03,+2.287500E+00,+2.125000E+00,+2.443250E+00
-111.400E-03,+2.350000E+00,+2.312500E+00,+2.568250E+00
-111.300E-03,+2.350000E+00,+2.468750E+00,+2.662000E+00
-111.200E-03,+2.256250E+00,+2.531250E+00,+2.693250E+00
-111.100E-03,+2.225000E+00,+2.593750E+00,+2.662000E+00
-111.000E-03,+2.100000E+00,+2.625000E+00,+2.599500E+00
-110.900E-03,+1.943750E+00,+2.531250E+00,+2.474500E+00
-110.800E-03,+1.756250E+00,+2.468750E+00,+2.349500E+00
-110.700E-03,+1.631250E+00,+2.343750E+00,+2.130750E+00
-110.600E-03,+1.412500E+00,+2.187500E+00,+1.880750E+00
-110.500E-03,+1.193750E+00,+2.000000E+00,+1.693250E+00
-110.400E-03,+1.006250E+00,+1.781250E+00,+1.443250E+00
-110.300E-03,+881.250E-03,+1.531250E+00,+1.162000E+00
-110.200E-03,+725.000E-03,+1.312500E+00,+943.250E-03
-110.100E-03,+631.250E-03,+1.093750E+00,+693.250E-03
-110.000E-03,+506.250E-03,+843.750E-03,+505.750E-03
-109.900E-03,+506.250E-03,+625.000E-03,+349.500E-03
-109.800E-03,+475.000E-03,+468.750E-03,+255.750E-03
-109.700E-03,+506.250E-03,+343.750E-03,+224.500E-03
-109.600E-03,+600.000E-03,+281.250E-03,+224.500E-03
-109.500E-03,+693.750E-03,+250.000E-03,+255.750E-03
-109.400E-03,+881.250E-03,+312.500E-03,+380.750E-03
-109.300E-03,+1.068750E+00,+343.750E-03,+568.250E-03
-109.200E-03,+1.256250E+00,+468.750E-03,+755.750E-03
-109.100E-03,+1.412500E+00,+656.250E-03,+943.250E-03
-109.000E-03,+1.631250E+00,+843.750E-03,+1.255750E+00
-108.900E-03,+1.787500E+00,+1.062500E+00,+1.505750E+00
-108.800E-03,+2.006250E+00,+1.343750E+00,+1.787000E+00
-108.700E-03,+2.131250E+00,+1.593750E+00,+2.037000E+00
-108.600E-03,+2.225000E+00,+1.812500E+00,+2.255750E+00
-108.500E-03,+2.287500E+00,+2.062500E+00,+2.443250E+00
-108.400E-03,+2.318750E+00,+2.250000E+00,+2.630750E+00
-108.300E-03,+2.318750E+00,+2.437500E+00,+2.662000E+00
-108.200E-03,+2.256250E+00,+2.562500E+00,+2.755750E+00
-108.100E-03,+2.162500E+00,+2.656250E+00,+2.724500E+00
-108.000E-03,+2.037500E+00,+2.656250E+00,+2.630750E+00
-107.900E-03,+1.881250E+00,+2.593750E+00,+2.505750E+00
